Medicina,Peso,Indice PH
M81,3.277379136,3.372249351
M82,2.262425937,2.480622975
M83,2.178029948,3.129601621
M84,3.428929181,1.525200843
M85,1.275980639,2.315919001
M86,2.626961974,2.263086213
M87,2.751579349,3.467755999
M88,1.780656374,2.987255947
M89,2.194103078,1.960023569
M90,0.950740462,2.991427576
M91,0.966842499,2.379170516
M92,2.094387244,2.399970762
M93,2.650028629,3.777734479
M94,4.326942127,3.102077493
M95,1.399798396,3.358526562
M96,2.168597922,3.795572901
M97,1.925755017,3.162231925
M98,0.260279374,3.49576907
M99,1.604930461,3.614667849
M100,0.384789043,4.053547794
M101,2.756337977,3.428274529
M102,1.200771126,4.271009418
M103,2.09008355,3.020347636
M104,1.509923963,2.956917531
M105,2.273168715,4.531201189
M106,1.459706094,2.541259459
M107,2.440968789,2.997430536
M108,2.665426811,3.827880372
M109,3.540699005,3.134827859
M110,1.825288818,4.264440101
M111,0.075480258,3.930709386
M112,1.244370127,3.26241326
M113,3.219134895,2.300071316
M114,1.03506024,3.510026488
M115,2.864858483,1.755640956
M116,2.11164482,3.220027208
M117,3.29302696,3.727594923
M118,0.235190001,3.191737529
M119,1.822071597,3.791709448
M120,0.912939063,4.834988626
M121,4.617207228,3.831539204
M122,2.742697005,3.240225702
M123,3.24107478,3.577495356
M124,1.047637768,3.38293682
M125,1.578245977,1.816748847
M126,1.754777532,2.625229902
M127,2.988582156,4.102219042
M128,1.74991526,2.960774215
M129,2.631387312,3.52418095
M130,0.15336533,2.094149933
M131,1.681535002,3.058065068
M132,1.258772127,3.540262754
M133,0.580648679,1.774636541
M134,2.457177186,3.312833369
M135,2.253785657,2.836341103
M136,2.030131894,2.154418711
M137,0.799689851,2.96622013
M138,3.014743051,1.293325956
M139,2.31516147,1.084820909
M140,1.730840573,1.940769002
M141,2.020600813,2.108521002
M142,1.764204109,1.944270905
M143,0.424808868,1.447114989
M144,1.742914126,3.259405281
M145,1.25177014,1.565234652
M146,1.118714325,3.099196964
M147,0.95923851,3.708360009
M148,1.519798602,2.997995892
M149,0.197627838,3.083797884
M150,2.86780648,2.659658649
M151,2.468054091,1.6655915
M152,1.981974934,2.960563273
M153,1.968706023,3.864742691
M154,1.281652774,4.564420439
M155,2.916816754,2.612814382
M156,1.880104268,1.535409537
M157,1.356922853,3.149712743
M158,3.216247192,3.338639319
M159,1.79770605,2.795744582
M160,1.469873872,1.965978939
M161,1.735621762,4.82189934
M162,1.236866381,0.87642884
M163,0.991884529,2.541025159
M164,4.273399723,1.810536968
M165,3.489947834,2.427484575
M166,2.276781643,3.286066277
M167,0.868593477,3.124243177
M168,1.221078773,2.360338433
M169,1.841119297,3.699303174
M170,2.712274455,3.560154532
M171,0.801196021,3.582642796
M172,-0.09688044,2.616931487
M173,0.695812436,3.943722684
M174,2.30015975,3.594636378
M175,2.352218244,5.257895226
M176,2.406511477,3.957113675
M177,1.882743812,4.041229488
M178,2.165320186,3.047680945
M179,1.571462285,1.840452597
M180,2.77581945,2.665900877
M181,0.774474976,2.317987275
M182,2.409526601,2.492427975
M183,1.236161558,3.499624704
M184,1.698601755,2.498899742
M185,2.497505011,2.194398178
M186,2.935181588,2.631605051
M187,0.994125185,2.85520191
M188,3.134592838,3.368400987
M189,2.594128827,2.142627603
M190,1.938921002,3.285585725
M191,1.824300922,3.070218073
M192,1.804154285,4.191946904
M193,1.727203141,2.808146562
M194,2.020741062,2.87896922
M195,2.04616132,1.945779764
M196,2.743456511,1.753263585
M197,3.374279018,3.279457487
M198,2.420222992,2.775459842
M199,1.811257995,3.45336965
M200,2.562671321,2.196604737
M201,2.164904537,4.717661097
M202,1.073209211,3.11000763
M203,2.854299648,3.94232994
M204,2.276355727,2.795771821
M205,2.121657448,2.853748253
M206,2.463721702,3.621046708
M207,2.235265692,3.500181094
M208,1.152662806,1.991770499
M209,1.853896094,1.620576287
M210,1.868550829,2.011919007
M211,1.521189761,1.725804011
M212,3.513893235,3.05361353
M213,1.211843588,2.629874167
M214,1.564566455,2.66879034
M215,1.359195906,1.775133184
M216,0.943208902,3.701610686
M217,1.826984434,3.39547
M218,1.753336793,2.919339765
M219,3.377065263,3.919062106
M220,1.775877732,2.213418481
M221,1.042207928,3.373230264
M222,3.443111568,3.31359708
M223,3.111211232,3.314328975
M224,1.793336194,2.343677459
M225,0.644456266,3.294156224
M226,1.599834965,2.53660653
M227,1.859653068,2.193198465
M228,2.248461429,1.917058632
M229,1.764952719,3.934034076
M230,2.399079722,2.238650209
M231,2.352704788,2.84437754
M232,0.874388984,1.912213151
M233,1.14683517,2.73258588
M234,1.333004515,0.091165984
M235,1.542964205,2.021736693
M236,1.711482044,1.716207456
M237,2.011222137,2.086994309
M238,-0.726259607,2.808059531
M239,1.588686823,2.707186998
M240,3.118203566,4.749958013
M241,1.039968741,2.485404103
M242,2.840355346,2.77497095
M243,2.315288901,1.587616077
M244,1.973894813,2.570355603
M245,2.164206951,1.795821012
M246,0.591449587,3.027269121
M247,1.923914468,3.767778091
M248,3.443551716,3.363828119
M249,2.088512997,2.369441808
M250,2.037236252,1.532511397
M251,1.339247799,4.314011867
M252,1.972267643,4.84503846
M253,2.209112311,3.10845054
M254,2.383748802,2.109088556
M255,1.664472132,4.077994327
M256,1.787190875,2.466609404
M257,3.821321798,2.577171573
M258,-0.032518573,3.797739639
M259,4.006501112,1.753302179
M260,2.303807331,1.238921441
M261,2.900054738,3.37861533
M262,0.502251973,3.360664198
M263,1.468968892,3.085627942
M264,1.749742253,3.447015952
M265,2.380444122,3.974016537
M266,0.496819372,3.87340301
M267,2.424470894,2.488287387
M268,0.90843752,3.728974866
M269,2.059571044,3.155922635
M270,2.5871203,2.545011688
M271,2.29435397,1.926024788
M272,2.974370154,3.582273845
M273,2.9054694,2.681739661
M274,1.414183037,3.041791074
M275,2.231350542,2.286347248
M276,1.150059974,1.604536973
M277,0.810390331,3.15442772
M278,2.83234334,2.944074788
M279,2.000044864,4.07912509
M280,1.950572977,3.721533663
M281,2.820014539,3.947974121
M282,2.535125328,2.326010923
M283,2.315181056,2.157306153
M284,3.125226105,1.857821904
M285,2.836810513,3.448182561
M286,2.215786931,5.510173015
M287,1.378675007,3.654814833
M288,1.413601722,2.304242308
M289,3.072891683,3.752970379
M290,0.54935265,1.984502721
M291,1.977984257,1.717976918
M292,0.246037541,3.645698084
M293,2.918448213,2.299885032
M294,2.775544672,3.284387293
M295,2.001045875,4.265881624
M296,1.936246508,3.361012172
M297,-0.237655529,3.836694256
M298,2.52305509,1.554778016
M299,0.026808572,3.59538262
M300,-0.087352276,4.924652028
M301,2.071940339,3.487025472
M302,1.146367115,1.613210536
M303,2.370341559,2.817171485
M304,2.609280025,2.5500313
M305,2.771959291,3.344721522
M306,1.377956787,3.37083184
M307,2.404439861,3.364943295
M308,2.090570015,2.672597324
M309,2.743462999,2.460655164
M310,2.482541372,2.469369908
M311,2.808099583,3.768186751
M312,1.881255919,1.332292736
M313,1.867518689,2.813427156
M314,2.906996065,3.243340382
M315,0.088710084,2.412506089
M316,1.545872235,3.429504557
M317,0.856464995,2.935812315
M318,1.655673678,2.155528841
M319,2.583811336,3.145227181
M320,2.743154434,2.758635406
M321,1.086550722,2.631114617
M322,1.576037079,2.359809561
M323,2.123322387,3.055300935
M324,1.737322962,1.338483688
M325,2.2716367,2.641500192
M326,2.359937849,2.510806691
M327,1.163034597,2.179291346
M328,1.840852761,3.587428732
M329,0.081114861,2.339155867
M330,3.030825539,3.486569781
M331,1.433818315,3.878256796
M332,0.916535023,2.858816627
M333,1.771449785,3.25001939
M334,0.714217822,3.575565573
M335,1.981228144,2.927119786
M336,1.495401503,3.486783129
M337,3.960000838,1.86369164
M338,3.024618849,3.999381457
M339,-0.247197853,2.109393589
M340,2.397194239,1.354047659
M341,0.741675912,4.24604866
M342,1.770450338,2.943545885
M343,2.147963666,3.404029008
M344,2.672960626,2.673067375
M345,1.754257746,2.081474946
M346,3.418670132,0.234310315
M347,1.567156563,3.563651098
M348,2.294760909,2.74198392
M349,2.598260709,2.822391384
M350,2.076669733,3.365044835
M351,2.792857507,1.722586386
M352,2.290891824,2.343499286
M353,1.294268435,4.032595057
M354,0.375163984,3.53807817
M355,3.672733654,1.846846867
M356,1.45592292,1.017062182
M357,2.09302375,2.485878312
M358,2.50685026,3.192596831
M359,2.102237297,3.84813924
M360,1.185746408,3.084352942
M361,1.579056876,1.989919451
M362,1.887599047,3.275542037
M363,3.331062642,1.944898619
M364,1.225265879,2.135130093
M365,2.706201621,2.411638485
M366,2.277760826,1.893545716
M367,1.789525962,2.756131383
M368,1.048724529,2.190044939
M369,1.744273141,2.742882476
M370,1.921978746,2.58382061
M371,0.677544433,2.631193307
M372,2.17296402,2.546814914
M373,1.259936051,4.109967401
M374,1.915183471,3.549274696
M375,2.302592007,3.05316494
M376,1.185811347,1.679747943
M377,1.740569275,1.53677706
M378,2.315056482,1.231722826
M379,0.347726772,5.344676176
M380,2.932378317,3.87513733
M381,4.18201503,3.231282873
M382,2.863460458,2.123183587
M383,1.715805204,1.968272053
M384,2.385760412,3.492875554
M385,1.067613699,4.408575587
M386,3.690078914,1.475990705
M387,2.846633963,2.595542376
M388,2.708611202,2.924137135
M389,1.211713164,1.20720254
M390,2.287954221,3.7571211
M391,1.497535144,2.626806974
M392,1.719713523,4.720962755
M393,1.486991075,2.648191141
M394,1.076839746,3.368263874
M395,1.182128972,1.971814649
M396,1.811092399,2.437622602
M397,0.471022324,1.948149435
M398,2.546840518,3.353317753
M399,1.89398154,4.171655554
M400,2.6292443,2.465722414
M401,2.242683778,3.392737852
M402,2.44485835,2.546073768
M403,0.66519108,3.091896942
M404,1.081762053,4.076625487
M405,1.59770449,3.108254535
M406,2.098692732,2.066840943
M407,3.015862807,2.228607085
M408,1.739033263,2.847113126
M409,3.135395646,2.827498548
M410,2.427882331,2.220766313
M411,3.056705076,3.16259772
M412,2.114252361,4.139875628
M413,1.408865664,2.773947641
M414,0.666740836,2.815886954
M415,2.139940096,1.018630285
M416,2.736696232,2.302938206
M417,1.736670682,1.746054674
M418,1.513292225,2.652388814
M419,1.722222366,3.473027715
M420,1.013066029,4.370942348
M421,1.556291166,4.618645007
M422,1.837334579,2.89480416
M423,2.041256995,2.711823432
M424,1.942595192,3.735764655
M425,2.550201675,3.44114327
M426,2.098385924,3.688726044
M427,3.632613905,3.700451141
M428,2.280821445,1.667725344
M429,3.624044395,3.486327564
M430,1.349190668,2.91761488
M431,2.473892334,2.315772861
M432,1.765774224,2.375764101
M433,2.540128258,4.153311977
M434,2.534537716,2.27123615
M435,0.032580549,1.886863482
M436,0.805661165,3.193217803
M437,0.703087762,4.809694591
M438,2.361660047,3.02299899
M439,3.323181153,3.277469493
M440,1.705867194,2.15557751
M441,2.731090704,4.506794357
M442,2.490986093,3.112489356
M443,1.053530921,3.477091131
M444,2.357720296,2.143138599
M445,1.323294735,3.768638536
M446,3.364640207,3.350231161
M447,1.970690142,1.959599024
M448,3.472399692,3.035766114
M449,1.617447358,2.594461257
M450,2.53049003,3.098323147
M451,1.943487897,2.774502442
M452,0.180236963,2.829088511
M453,1.116081627,2.070377837
M454,2.551260168,2.709037271
M455,1.950602483,3.689874169
M456,0.993141198,4.570205862
M457,1.436259315,1.955532066
M458,2.224565967,5.139670667
M459,1.106282894,4.373470166
M460,2.877455202,3.15165675
M461,1.423361444,2.728914124
M462,3.627976358,2.371211156
M463,1.028120374,3.749493518
M464,2.1792705,2.374855271
M465,0.631076094,2.584305306
M466,1.348731987,3.795255423
M467,1.466074716,3.392349764
M468,2.361202706,3.807072627
M469,2.847919987,3.454258825
M470,2.270437371,2.639192578
M471,1.664236407,2.537536789
M472,2.733939657,3.716730837
M473,2.718998293,2.395928852
M474,2.108184754,4.067993139
M475,2.514122867,3.711631774
M476,2.371516409,3.258949345
M477,1.111734305,3.002903503
M478,2.683611493,3.329055469
M479,1.408518831,6.174010037
M480,1.456473367,2.898807004
M481,2.15925214,1.599065459
M482,1.723246877,4.723592066
M483,1.881361682,3.548861448
M484,2.535821906,2.416879539
M485,2.942149506,5.355601421
M486,1.821837231,3.495855379
M487,2.294910348,3.264783316
M488,1.785528646,2.299940582
M489,2.206637204,2.041562914
M490,2.395998114,1.408427371
M491,1.444820664,2.619372418
M492,2.247353108,2.052207814
M493,2.540991829,3.58297972
M494,2.083077156,2.71413463
M495,3.556857252,4.592092412
M496,1.4522983,4.359524156
M497,1.336646205,3.147609285
M498,0.425108624,2.745512657
M499,2.819434322,4.036949227
M500,2.780374298,1.968143131
M501,-3.693361613,-2.791836659
M502,-4.324483108,-1.805820191
M503,-4.198151669,-1.764179747
M504,-4.325747141,-1.960959758
M505,-3.739454362,-1.925834916
M506,-4.375703952,-2.248132982
M507,-4.509873765,-1.660161471
M508,-3.750100198,-2.399472576
M509,-4.209011554,-2.374300504
M510,-3.840054033,-1.659091342
M511,-4.175387944,-1.207324096
M512,-3.883315867,-2.18160526
M513,-5.215291197,-2.237386854
M514,-3.79104386,-1.80820527
M515,-3.138826357,-1.495992613
M516,-3.52153401,-1.545048041
M517,-3.581878608,-1.8730316
M518,-4.122673705,-2.298171072
M519,-3.924930902,-1.704011305
M520,-3.895202713,-2.037239864
M521,-3.964695344,-1.352833892
M522,-4.400320194,-2.66185987
M523,-4.175558527,-1.933621109
M524,-4.092144269,-1.393831884
M525,-4.235907107,-2.23262006
M526,-3.616686746,-2.293667728
M527,-2.81697581,-2.438808118
M528,-4.631967098,-2.131000709
M529,-3.949680076,-2.094246731
M530,-4.687918202,-1.935731653
M531,-3.397821141,-2.415173964
M532,-3.347341595,-1.961207176
M533,-4.791395196,-2.283821202
M534,-3.096468295,-2.173302284
M535,-4.519808273,-2.393940099
M536,-3.903395082,-2.132763269
M537,-3.493503275,-0.322162145
M538,-3.940821286,-0.398459788
M539,-2.931037068,-1.460948606
M540,-2.716297798,-1.629988959
M541,-3.944990669,-2.600724564
M542,-4.906321118,-2.274758758
M543,-4.181546707,-2.291120662
M544,-4.408611705,-1.748408508
M545,-4.369434081,-1.772996085
M546,-4.540016563,-1.949016711
M547,-3.973251219,-2.159933821
M548,-3.019884062,-2.435148757
M549,-4.346448275,-1.997498806
M550,-4.141842361,-1.464599739
M551,-3.461756748,-1.799140214
M552,-3.439973933,-1.91491489
M553,-3.781795736,-1.690984523
M554,-3.527772251,-1.725404565
M555,-3.60075877,-2.759732109
M556,-4.189426203,-1.991176055
M557,-3.808420277,-2.200201556
M558,-4.150591344,-2.955992815
M559,-4.432938204,-2.624419699
M560,-3.711669633,-2.150346241
M561,-3.978296812,-1.612047682
M562,-4.097946656,-2.10776762
M563,-3.872888096,-1.876742118
M564,-3.545783495,-2.422050386
M565,-3.825320752,-3.013932272
M566,-3.918560854,-1.955859124
M567,-3.87850107,-2.447055288
M568,-3.985926453,-1.448882733
M569,-4.373999135,-1.184504943
M570,-3.640212596,-2.174697141
M571,-3.347813733,-1.43935386
M572,-4.261026334,-1.551785428
M573,-3.103953538,-2.665070931
M574,-4.092836347,-2.015677469
M575,-4.12456267,-1.877274651
M576,-4.43187231,-1.754192569
M577,-4.382398327,-1.681910184
M578,-4.457898105,-1.683034041
M579,-3.843664437,-1.681152489
M580,-3.259397628,-2.146912468
M581,-3.762088982,-1.82175543
M582,-3.608524918,-3.05886217
M583,-3.379332135,-2.549124827
M584,-5.184780718,-1.435076158
M585,-4.088752881,-2.310547138
M586,-3.844082802,-1.846047251
M587,-3.672890749,-1.291180273
M588,-4.62328027,-2.41778721
M589,-4.482758407,-2.450863776
M590,-3.638378769,-2.231578073
M591,-4.064788524,-1.792703408
M592,-3.750047753,-2.096239197
M593,-4.461503058,-2.459569257
M594,-4.777887126,-2.739284896
M595,-3.652235868,-2.174022936
M596,-3.449145639,-2.103938369
M597,-3.242933109,-2.251550026
M598,-4.730129113,-2.123126921
M599,-4.63832063,-2.514845012
M600,-4.702707854,-1.74186026
M601,-4.029581645,-3.022071666
M602,-4.299288448,-1.932031114
M603,-3.39234724,-1.685554285
M604,-4.693881294,-2.398949705
M605,-4.828904134,-2.026832356
M606,-3.913506799,-1.862860456
M607,-3.449322713,-2.288870714
M608,-4.387326856,-2.006412299
M609,-4.604849118,-1.806306657
M610,-4.080185736,-2.44046031
M611,-4.779129939,-1.607476193
M612,-4.001848157,-1.485566923
M613,-3.620657985,-1.849045056
M614,-3.907662976,-1.992896966
M615,-4.907345104,-2.547311494
M616,-4.262306256,-1.767424849
M617,-4.15195518,-2.571449023
M618,-3.157616398,-1.252329651
M619,-3.580019676,-1.752556727
M620,-4.036827936,-1.875535262
M621,-3.394599823,-2.184991009
M622,-4.501025849,-3.022865718
M623,-4.173685401,-2.561957583
M624,-3.346096254,-1.828295656
M625,-3.303880024,-0.866151763
M626,-3.666723283,-1.652083806
M627,-3.779346432,-1.854419197
M628,-4.285479286,-2.254733976
M629,-3.659897164,-1.942526903
M630,-4.399232836,-1.547728714
M631,-3.739975256,-2.119368176
M632,-3.87753455,-1.110874685
M633,-3.474526054,-2.573519444
M634,-4.210157887,-2.176831458
M635,-3.711014251,-1.9753583
M636,-3.637206302,-2.918348839
M637,-4.432237244,-1.734252332
M638,-3.936564923,-1.963436603
M639,-3.259290662,-1.962070442
M640,-3.957153336,-1.62648733
M641,-4.155053719,-1.5094662
M642,-3.795369984,-1.622973215
M643,-4.13929739,-2.220347451
M644,-3.801722504,-2.021898416
M645,-4.07333961,-1.833877074
M646,-4.018614268,-2.590696265
M647,-3.79342897,-2.486934776
M648,-3.369711732,-2.200672463
M649,-3.797618953,-1.963495721
M650,-3.235259681,-1.158262778
M651,-4.963330122,-1.625286326
M652,-4.221150701,-2.207975348
M653,-3.899083195,-2.295672813
M654,-4.402531293,-1.279115752
M655,-4.609698927,-0.715236021
M656,-3.719993512,-1.921303634
M657,-3.722030293,-2.225066628
M658,-3.873990857,-2.663947325
M659,-3.824201422,-1.541755614
M660,-4.419164536,-1.863832077
M661,-4.243913538,-1.452258122
M662,-4.060135754,-2.42709164
M663,-4.333279694,-1.886929733
M664,-3.854015988,-2.307401778
M665,-2.898344371,-1.400771367
M666,-4.236648438,-2.259059587
M667,-3.705699343,-2.041082168
M668,-4.496179617,-2.16347555
M669,-3.380409339,-1.532837609
M670,-4.465495967,-1.798634999
M671,-3.911903667,-2.471967082
M672,-4.300738877,-2.297363302
M673,-3.769352647,-2.491483696
M674,-4.00466354,-1.762317706
M675,-4.030674654,-1.843981751
M676,-2.623926506,-2.768643886
M677,-4.306121711,-2.896214896
M678,-4.032033318,-2.018987399
M679,-2.74897801,-1.672319135
M680,-4.548944623,-1.92066279
M681,-3.75009059,-2.725584273
M682,-4.515935452,-2.729347125
M683,-3.525599395,-1.592473432
M684,-3.856060988,-2.068325305
M685,-3.703501339,-2.181533582
M686,-4.141064725,-1.381384067
M687,-3.894759951,-2.374338186
M688,-3.317918665,-1.936342555
M689,-5.079297725,-1.803630978
M690,-4.777646641,-1.614656566
M691,-3.8147296,-2.401546088
M692,-4.31774136,-1.832060264
M693,-4.149283708,-0.708220719
M694,-4.713551872,-2.711099187
M695,-4.43527219,-1.796029855
M696,-4.199965326,-2.107990835
M697,-4.351125138,-2.388730597
M698,-4.417247962,-2.391031829
M699,-4.208267987,-1.765987235
M700,-4.453053172,-0.911655731
M701,-3.379314653,-2.37309808
M702,-4.474564315,-1.745749002
M703,-3.155566937,-2.262758838
M704,-4.185985205,-1.071013953
M705,-4.692318138,-1.744009624
M706,-4.30078045,-2.064815612
M707,-3.570784548,-1.708658451
M708,-3.513713249,-2.002623908
M709,-3.93469318,-1.479616355
M710,-3.874921849,-2.087227351
M711,-3.712534379,-2.527066372
M712,-4.695749678,-1.884168727
M713,-4.283403571,-1.266312502
M714,-4.870170181,-2.562412206
M715,-4.221078448,-2.113902281
M716,-3.563840889,-1.527730763
M717,-3.672802538,-2.902459128
M718,-2.934720555,-1.706040484
M719,-3.931637998,-1.646108604
M720,-5.023550653,-1.899662669
M721,-3.215982326,-2.362010014
M722,-3.407328049,-2.003353287
M723,-4.283836553,-1.956202333
M724,-3.905371194,-1.560431933
M725,-3.643657808,-1.688146577
M726,-3.829187636,-2.164609353
M727,-3.682707546,-1.238657604
M728,-4.062976313,-2.023891555
M729,-4.028247139,-2.381967623
M730,-3.968598344,-2.206057369
M731,-4.381138307,-1.596453303
M732,-3.341208509,-1.90824851
M733,-4.007024108,-1.582234788
M734,-3.687354002,-1.967465744
M735,-4.411818808,-0.831193979
M736,-4.515360599,-2.782852265
M737,-4.052754608,-2.195486134
M738,-4.128802761,-2.039585565
M739,-3.448432805,-1.958051585
M740,-3.725150057,-1.315610816
M741,-3.755958218,-1.896856846
M742,-4.689121527,-2.053992308
M743,-4.46481609,-1.967756839
M744,-3.915035871,-1.646797417
M745,-4.173502647,-2.324030717
M746,-3.403658645,-1.788117615
M747,-3.379657705,-2.735561589
M748,-4.282974914,-2.037034084
M749,-3.598686267,-2.442642225
M750,-3.354138553,-2.306844908
M751,-3.859136946,-1.867211257
M752,-3.247010245,-2.52878715
M753,-3.510656345,-2.464817821
M754,-3.909370538,-2.712453618
M755,-3.597902495,-3.047399924
M756,-3.918628705,-2.071215189
M757,-4.204999315,-1.453510148
M758,-3.841524395,-2.085510054
M759,-3.992975346,-2.109958164
M760,-4.181376649,-2.491965013
M761,-3.177620804,-1.255840127
M762,-3.906001658,-2.117224308
M763,-2.726722535,-1.391811066
M764,-4.14919773,-1.829869335
M765,-3.744781091,-2.123634679
M766,-3.266168288,-1.491392108
M767,-2.727261842,-1.538255982
M768,-3.867324788,-2.052378663
M769,-4.381421485,-1.390903131
M770,-3.632411291,-1.16279134
M771,-4.63035427,-2.030838992
M772,-4.138707507,-2.120170007
M773,-3.882222547,-1.809820066
M774,-3.309909851,-1.834674326
M775,-3.334543483,-1.620469802
M776,-4.022953856,-2.120127531
M777,-3.575752282,-1.663896759
M778,-4.161001797,-1.507159263
M779,-3.699271304,-1.916552179
M780,-3.109811849,-1.927950088
M781,-3.936322983,-2.589532505
M782,-4.151252135,-2.551216403
M783,-4.245016345,-2.686877653
M784,-3.673258451,-2.584815354
M785,-3.381474298,-2.072896706
M786,-3.010930425,-2.759009492
M787,-3.984598481,-0.94434938
M788,-3.933373119,-1.652537868
M789,-4.307372168,-2.97179332
M790,-3.252363998,-2.542638773
M791,-4.0454609,-2.050380183
M792,-4.232421457,-2.805053171
M793,-2.98340683,-2.216150435
M794,-3.62935588,-1.487229951
M795,-3.673318882,-2.077023721
M796,-4.482618433,-2.031603021
M797,-3.806026292,-2.470748454
M798,-3.765532511,-2.26116088
M799,-4.523354923,-2.635231481
M800,-4.116123392,-1.828820678
M801,-4.200313235,-2.212537574
M802,-3.761906169,-1.631817994
M803,-4.483272546,-1.418498775
M804,-3.498157418,-1.493716855
M805,-3.171108886,-2.016375328
M806,-4.152764624,-2.236874047
M807,-4.014087417,-2.575288918
M808,-3.771881538,-1.944300731
M809,-3.444471565,-1.549047455
M810,-3.764651667,-2.160237306
M811,-3.823388337,-2.081459616
M812,-4.236921095,-1.710338761
M813,-4.118803681,-1.593957896
M814,-3.72170895,-2.665949658
M815,-3.219060248,-1.906022579
M816,-3.74285502,-1.907961379
M817,-4.576833749,-2.071032229
M818,-3.806461617,-1.580391443
M819,-4.053296752,-2.171169388
M820,-4.124705821,-2.388308684
M821,-4.113018672,-1.870274687
M822,-4.423490357,-1.783895269
M823,-4.160778033,-2.102228135
M824,-4.378675188,-1.625822205
M825,-4.181532388,-2.713470607
M826,-3.954882831,-2.505211005
M827,-3.928060346,-3.443917895
M828,-4.111358514,-1.754938621
M829,-4.081727395,-2.465781104
M830,-3.994166537,-2.118969097
M831,-3.794607363,-1.525645327
M832,-3.407633326,-1.976024335
M833,-3.718557676,-2.207003412
M834,-4.144736715,-2.398780623
M835,-3.728932614,-2.112974294
M836,-4.125400357,-1.716623165
M837,-4.846946472,-2.712639216
M838,-5.113202438,-2.032123796
M839,-4.81538979,-1.632275353
M840,-4.121449813,-2.667741184
M841,-4.301224133,-1.685398389
M842,-4.348475378,-1.67887878
M843,-3.990891128,-2.414604025
M844,-4.319721271,-2.707119115
M845,-4.306342065,-1.796424483
M846,-3.723476207,-1.620119815
M847,-3.642302564,-1.727899147
M848,-2.864805352,-1.641460911
M849,-3.867868514,-2.555599706
M850,-3.982589669,-1.725591586
M851,-4.279842962,-2.27260455
M852,-4.101749828,-2.263842579
M853,-4.0337497,-2.731271346
M854,-4.835214269,-1.482902026
M855,-4.130958083,-1.917722598
M856,-3.657715314,-1.528302684
M857,-4.278259225,-1.289826158
M858,-3.777710313,-2.534502344
M859,-3.544022994,-1.697781355
M860,-3.503744147,-2.005997221
M861,-3.644884355,-1.570297929
M862,-5.072124965,-1.479383549
M863,-4.275257045,-1.614378413
M864,-3.586299026,-2.384277561
M865,-3.8245025,-2.059448054
M866,-4.007718421,-1.875852834
M867,-3.804648245,-0.515491806
M868,-3.478865822,-1.423489903
M869,-3.937727752,-0.909301399
M870,-4.366554764,-1.805186005
M871,-4.094676656,-1.900439164
M872,-4.107661105,-1.711811561
M873,-3.588529715,-2.248055172
M874,-3.81621538,-1.416447412
M875,-3.752665747,-2.074086421
M876,-3.94051753,-2.645592839
M877,-4.180265563,-1.590706067
M878,-3.981263591,-2.737210652
M879,-3.908148391,-2.866798861
M880,-4.667117534,-1.864447389
